date,list_price,discounted_price
2021-11-04,59.99,59.99
2022-02-24,59.99,0.0
2022-02-24,59.99,59.99
2022-12-22,59.99,41.99
2023-01-05,59.99,59.99
2023-06-29,59.99,41.99
2023-07-13,59.99,59.99
2023-10-05,59.99,39.59
2023-10-19,59.99,59.99
2023-12-21,59.99,35.99
2024-01-04,59.99,59.99
2024-06-27,59.99,41.99
2024-07-11,59.99,59.99
2024-09-19,59.99,41.99
2024-09-26,59.99,59.99
2024-12-19,59.99,35.99
2025-01-02,59.99,59.99
2025-03-13,59.99,35.99
2025-03-20,59.99,59.99
2025-06-26,59.99,35.99
2025-06-26,59.99,35.99
2025-07-10,59.99,59.99
2025-12-09,59.99,59.99
2025-12-09,59.99,
